# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	18219
#@/user_id	36911b7b-e7c1-441a-b6ce-954133c0c2c7
a 	啊	c=52 d=1.0149 t=17937
hai bu gou hao 	還不夠好	c=1 d=1 t=1928
hai bu ru 	還不如	c=0 d=0.1 t=17496
hai bu ru ni 	還不如你	c=1 d=1 t=17497
hai bu shi 	還不是	c=1 d=1 t=15031
hai chu qu 	還出去	c=1 d=1 t=10432
hai da you xi 	還打遊戲	c=1 d=1 t=14851
hai di 	海底	c=1 d=0.1 t=12720
hai di lao 	海底撈	c=1 d=1 t=12721
hai dong 	還懂	c=1 d=1 t=5449
hai dou 	還都	c=1 d=1 t=12787
hai hao 	還好	c=0 d=0.1 t=6356
hai hao hao 	還好好	c=1 d=1 t=6357
hai he 	還和	c=1 d=1 t=12523
hai huo zhe 	還活着	c=1 d=1 t=11249
hai jiu chan 	還糾纏	c=1 d=1 t=12821
hai kai le 	還開了	c=1 d=1 t=7453
hai ke yi 	還可以	c=3 d=1.00002 t=17252
hai lu 	海路	c=1 d=1 t=9364
hai lun 	海倫	c=1 d=1 t=15655
hai mei dao 	還沒到	c=1 d=1 t=16170
hai mei you 	還沒有	c=1 d=1 t=7343
hai na me 	還那麼	c=1 d=1 t=9999
hai neng 	還能	c=5 d=0.10001 t=12730
hai neng shuo sha 	還能說啥	c=1 d=1 t=12731
hai nian qing 	還年輕	c=2 d=0.100157 t=17160
hai qing 	還請	c=1 d=1 t=6875
hai rang 	還讓	c=0 d=0.1 t=3347
hai rang wo 	還讓我	c=1 d=1 t=3348
hai sao 	害臊	c=1 d=1 t=12711
hai shi 	還是	c=24 d=1.10402 t=18023
hai shi geng jia ce zhong 	還是更加側重	c=1 d=1 t=17554
hai tao 	海淘	c=1 d=1 t=9554
hai ting 	還挺	c=0 d=0.1 t=17125
hai ting you 	還挺有	c=1 d=1 t=17126
hai wai 	海外	c=0 d=0.1 t=9554
hai wai gou 	海外購	c=1 d=1 t=9555
hai xian 	海鮮	c=1 d=1 t=9568
hai xiang 	還想	c=2 d=1 t=8340
hai xiang xiang xia ge yue 	還想想下個月	c=1 d=1 t=17040
hai xing 	還行	c=3 d=1.00006 t=18132
hai xing ba 	還行吧	c=1 d=1 t=10882
hai xiu 	害羞	c=1 d=1 t=1730
hai xu yao 	還需要	c=2 d=1 t=5665
hai xun si 	還尋思	c=1 d=1 t=11741
hai yang da xue 	海洋大学	c=1 d=1 t=5168
hai yao 	還要	c=10 d=1 t=16473
hai yao bao zheng 	還要保證	c=1 d=1 t=11927
hai yi wei 	還以爲	c=1 d=1 t=14536
hai yong 	還用	c=1 d=1 t=9064
hai you 	還有	c=22 d=1.03189 t=17451
hai you ju qing 	還有劇情	c=1 d=1 t=6903
hai you mei you 	還有沒有	c=1 d=1 t=13240
hai you ni 	還有你	c=1 d=1 t=5833
hai you yi ge 	還有一個	c=1 d=1 t=18019
hai zai 	還在	c=1 d=0.1 t=15678
hai zai kan 	還在看	c=1 d=1 t=15679
hai zhao le ge 	還找了個	c=1 d=1 t=107
hai zhe 	害者	c=1 d=1 t=6547
hai zhun bei 	還準備	c=1 d=1 t=9146
hai zi 	孩子	c=3 d=1.00004 t=14475
han 	韓	c=1 d=1 t=10242
han bao 	漢堡	c=2 d=1 t=9483
han bao bao 	漢堡包	c=2 d=1.97045 t=16575
han gai le 	涵蓋了	c=1 d=1 t=13751
han jia 	寒假	c=2 d=1.62189 t=970
han ju 	韓劇	c=2 d=1 t=15986
han ni ba 	漢尼拔	c=1 d=1 t=8665
han shu 	函數	c=9 d=1 t=15780
han yi 	含義	c=3 d=0.261197 t=5905
han yi ru xia 	含義如下	c=1 d=1 t=5534
han yi shi 	含義是	c=1 d=1 t=5906
han you 	含有	c=3 d=1.10195 t=17778
hang 	行	c=5 d=1.99115 t=8493
hang hao 	行號	c=1 d=1 t=2915
hang kong 	航空	c=0 d=0.1 t=903
hang lie shi 	行列式	c=2 d=1.99501 t=14704
hang lu 	航路	c=1 d=1 t=9367
hao 	好	c=11 d=0.525445 t=17148
hao 	號	c=6 d=1.0166 t=16976
hao an wei 	好安慰	c=1 d=1 t=12728
hao ba 	好吧	c=9 d=1.30646 t=11836
hao bu rong yi 	好不容易	c=0 d=0.1 t=10315
hao cai 	好猜	c=0 d=0.1 t=11850
hao can 	好慘	c=1 d=1 t=9967
hao chi 	好喫	c=1 d=1.00002 t=2962
hao chi me 	好喫麼	c=1 d=1 t=1261
hao chu 	好處	c=1 d=1 t=14106
hao da 	好噠	c=2 d=1 t=14898
hao da xue 	好大學	c=1 d=1 t=10127
hao de 	好的	c=15 d=2.64248 t=15026
hao dian 	好點	c=1 d=1 t=15683
hao dong xi 	好東西	c=1 d=1 t=11445
hao duo 	好多	c=2 d=0.118875 t=3329
hao duo ren 	好多人	c=1 d=1 t=12759
hao duo tian 	好多天	c=1 d=1 t=12912
hao ge 	豪哥	c=2 d=1 t=16021
hao hao 	好好	c=6 d=1 t=13210
hao hao guo 	好好過	c=1 d=1 t=2663
hao hao kan 	好好看	c=0 d=0.1 t=1428
hao hao lu 	好好錄	c=1 d=1 t=7594
hao hao shui jiao ba 	好好睡覺吧	c=1 d=1 t=10449
hao hao ting 	好好聽	c=2 d=1.00287 t=7503
hao hao xiu xi 	好好休息	c=0 d=0.1 t=2736
hao hao xiu xi ba 	好好休息吧	c=1 d=1 t=2737
hao hao xue 	好好學	c=1 d=1 t=6625
hao he 	好喝	c=2 d=1.00021 t=16696
hao he jiu xing 	好喝就行	c=1 d=1 t=15333
hao he me 	好喝麼	c=1 d=1 t=15325
hao ji you 	好基友	c=1 d=1 t=2864
hao jie jue de 	好解決的	c=1 d=1 t=12866
hao jiu 	好久	c=4 d=1 t=18063
hao jiu le 	好久了	c=1 d=1 t=825
hao jiu mei you 	好久沒有	c=1 d=1 t=822
hao kan 	好看	c=8 d=1.20419 t=17068
hao kan me 	好看麼	c=1 d=1 t=14386
hao kan ye ke ai 	好看也可愛	c=1 d=1 t=1433
hao le 	好了	c=1 d=0.1 t=15502
hao lei 	好嘞	c=3 d=1.01897 t=14382
hao me 	好麼	c=2 d=1 t=12028
hao nong 	好弄	c=0 d=0.1 t=9003
hao peng you 	好朋友	c=1 d=1 t=15451
hao pian yi 	好便宜	c=1 d=1 t=897
hao qi 	好奇	c=0 d=0.120805 t=1281
hao qi lai 	好起來	c=0 d=0.1 t=2667
hao ran 	浩然	c=1 d=1 t=15825
hao ri zi 	好日子	c=1 d=1 t=7574
hao sha 	好傻	c=1 d=1 t=9998
hao shen qi 	好神奇	c=1 d=1 t=2546
hao sheng xin 	好勝心	c=1 d=1 t=12465
hao shi 	好事	c=1 d=1 t=18122
hao shi 	好使	c=1 d=1 t=18123
hao shuo 	好說	c=1 d=1 t=12833
hao tiao shi 	好調試	c=1 d=1 t=2591
hao ting 	好聽	c=0 d=0.1 t=6907
hao ting hao de 	好聽好的	c=1 d=1 t=6908
hao wan er 	好玩兒	c=1 d=1 t=3017
hao wu liao 	好無聊	c=0 d=0.1 t=3319
hao wu liao a 	好無聊啊	c=1 d=1 t=3320
hao xiang 	好像	c=10 d=1.01616 t=16207
hao xiang jiao 	好像叫	c=1 d=1 t=582
hao xiang que shi 	好像確實	c=1 d=1 t=11274
hao xiang shi 	好像是	c=5 d=1 t=16723
hao xiao 	好小	c=0 d=0.1 t=2898
hao xiao a 	好小啊	c=1 d=1 t=2899
hao xin 	好心	c=0 d=0.1 t=9674
hao xin teng 	好心疼	c=1 d=1 t=9675
hao yang 	好樣	c=2 d=1.7827 t=11300
hao you 	好友	c=2 d=0.100019 t=14933
hao yun 	好運	c=0 d=0.1 t=15651
hao zhuan 	好轉	c=1 d=1.0802 t=11274
hao zhuan le 	好轉了	c=1 d=1 t=11275
hao zi 	蒿子	c=1 d=1 t=1264
he 	合	c=0 d=0.1 t=4498
he 	和	c=72 d=1.7164 t=18055
he 	喝	c=3 d=1 t=14965
he 	河	c=0 d=0.1 t=15541
he bei 	河北	c=6 d=1.93707 t=15546
he bei sheng 	河北省	c=4 d=1.83946 t=16559
he bei shi fan 	河北師範	c=1 d=1 t=5087
he bei shi fan da xue 	河北師範大學	c=1 d=1 t=3935
he bi ne 	何必呢	c=1 d=1 t=10028
he bie ren 	和別人	c=1 d=1 t=11454
he bie tan tan 	和別談談	c=1 d=1 t=12370
he bing 	合併	c=3 d=1 t=8707
he bing fen zhi 	合併分支	c=1 d=1 t=2202
he bing yi xia 	合併一下	c=1 d=1 t=3804
he da le 	喝大了	c=1 d=1 t=10539
he dian 	喝點	c=0 d=0.1 t=2867
he ge 	合格	c=1 d=1 t=15936
he jin 	合金	c=0 d=0.1 t=6899
he jin dan tou 	合金彈頭	c=2 d=1.94649 t=6911
he jiu 	喝酒	c=0 d=0.1 t=10432
he jiu le 	喝酒了	c=1 d=1 t=10433
he kun 	何鵾	c=2 d=1.94176 t=3376
he li 	合理	c=1 d=1 t=5809
he liu yang 	和劉洋	c=1 d=1 t=1415
he nai cha 	和奶茶	c=1 d=1 t=3292
he nai cha 	喝奶茶	c=2 d=0.188692 t=12951
he ni 	和你	c=5 d=1.07136 t=14216
he ni lian xi le 	和你聯繫了	c=1 d=1 t=823
he ni men 	和你們	c=0 d=0.1 t=13091
he peng you 	和朋友	c=1 d=1 t=15445
he ping 	和平	c=0 d=0.1 t=9520
he ping jing ying 	和平精英	c=1 d=1 t=9521
he pu tong 	和普通	c=1 d=1 t=8014
he shi 	合適	c=2 d=1.97045 t=3742
he shi you 	和室友	c=2 d=1 t=14254
he ta 	和他	c=0 d=0.199005 t=15761
he ta men 	和他們	c=1 d=1 t=10099
he tian 	合天	c=2 d=1.15107 t=16300
he wei zhi 	和位置	c=1 d=1 t=58
he wo 	和我	c=3 d=1.00118 t=14263
he wo hao xiang 	和我好像	c=1 d=1 t=12902
he xue xi 	和學習	c=1 d=1 t=14247
he yi ge 	和一個	c=1 d=1 t=12199
he zhe xie 	和這些	c=1 d=1 t=940
he zhong 	何種	c=1 d=1.18758 t=5547
he zhong kong zhi xin xi 	何種控制信息	c=1 d=1 t=5543
he zui 	喝醉	c=1 d=1.09005 t=12706
he zui le 	喝醉了	c=1 d=1 t=12858
hei 	黑	c=1 d=1 t=12675
hei bai 	黑白	c=1 d=1 t=16725
hei hei 	嘿嘿	c=9 d=1.97105 t=15653
hei long tang 	黑瀧堂	c=2 d=1 t=9543
hei ming dan 	黑名單	c=5 d=2.05922 t=17670
hei nai cha 	黑奶茶	c=1 d=1 t=3334
hei ping 	黑屏	c=1 d=1 t=7797
hei se 	黑色	c=1 d=1 t=12380
hei yi ren 	黑衣人	c=1 d=1 t=11893
hei ying 	黑鹰	c=1 d=1 t=16197
hen 	很	c=3 d=0.168709 t=15893
hen bu de 	恨不得	c=1 d=1 t=11456
hen can 	很慘	c=1 d=1 t=12779
hen cang cu 	很倉促	c=1 d=1 t=13972
hen da 	很大	c=3 d=1 t=14090
hen dong 	很懂	c=1 d=1 t=14927
hen duo 	很多	c=3 d=1 t=15465
hen e xin 	很噁心	c=1 d=1 t=12806
hen gao 	很高	c=1 d=0.121014 t=17845
hen gui yi 	很詭異	c=1 d=1 t=15894
hen hao 	很好	c=0 d=0.1 t=475
hen hao de 	很好的	c=1 d=1 t=4616
hen hao nong 	很好弄	c=1 d=1 t=9004
hen hao yong de 	很好用的	c=1 d=1 t=476
hen jian dan 	很簡單	c=1 d=1 t=8804
hen jin li le 	很盡力了	c=1 d=1 t=12295
hen jiu 	很久	c=1 d=1 t=12544
hen jiu bu kan 	很久不看	c=1 d=1 t=2848
hen kai xin 	很開心	c=1 d=1 t=12407
hen lao 	很老	c=1 d=1 t=18057
hen le 	狠了	c=1 d=1 t=1715
hen luan 	很亂	c=1 d=1 t=14963
hen ming xian 	很明顯	c=1 d=1 t=17231
hen nan guo 	很難過	c=0 d=0.1 t=10048
hen ni 	很膩	c=1 d=1 t=13945
hen qiang 	很強	c=3 d=1 t=17499
hen qing 	很輕	c=0 d=0.1 t=12343
hen qing song 	很輕送	c=1 d=1 t=12344
hen rong yi 	很容易	c=1 d=1 t=17236
hen sheng qi 	很生氣	c=0 d=0.1 t=13938
hen tao yan 	很討厭	c=1 d=1 t=12808
hen tou che 	很透徹	c=1 d=1 t=15032
hen wen nuan 	很溫暖	c=1 d=1 t=2461
hen xi huan 	很喜歡	c=0 d=0.1 t=10354
hen xi huan zhe 	很喜歡這	c=1 d=1 t=10355
hen xiang 	很想	c=1 d=1 t=14345
hen xiang 	很香	c=1 d=1 t=14621
hen xiang xi 	很詳細	c=1 d=1 t=11175
hen xin teng 	很心疼	c=0 d=0.1 t=11872
hen xin teng ni 	很心疼你	c=1 d=1 t=11873
hen yan ge 	很嚴格	c=0 d=0.1 t=2442
hen you xiu 	很優秀	c=1 d=1 t=12420
hen zheng qian 	很掙錢	c=1 d=1 t=15790
hen zhong yao 	很重要	c=1 d=1 t=6601
heng 	哼	c=1 d=1 t=7907
heng pai 	橫排	c=1 d=1 t=6235
hong bao 	紅包	c=3 d=2.00069 t=10513
hong mei gui 	紅玫瑰	c=2 d=1 t=15291
hong ru 	鴻儒	c=2 d=1.99005 t=15268
hong ru chao shi 	鴻儒超市	c=1 d=1 t=9619
hong se 	紅色	c=2 d=1.00379 t=17745
hong yi tang 	弘毅堂	c=1 d=1 t=9863
hong zou 	轟走	c=1 d=1 t=12576
hou 	後	c=19 d=1.95971 t=17595
hou de 	厚的	c=0 d=0.1 t=44
hou duan 	後端	c=1 d=1 t=2883
hou ji 	後繼	c=2 d=1 t=7753
hou lai 	後來	c=3 d=1 t=16914
hou mian 	後面	c=8 d=1 t=17450
hou tai 	後臺	c=1 d=1 t=8446
hou tian 	後天	c=0 d=0.1 t=1185
hou tian kao shi 	後天考試	c=1 d=1 t=13810
hou xu 	後續	c=2 d=1 t=17290
hou zhe 	侯着	c=1 d=1 t=13592
hou zhui 	後綴	c=1 d=1 t=3872
hu 	乎	c=1 d=1 t=7133
hu 	胡	c=0 d=0.1 t=1379
hu chu 	呼出	c=1 d=1 t=1101
hu dong 	互動	c=3 d=1 t=13741
hu jiao 	呼叫	c=0 d=0.1 t=10382
hu jiao wang guan 	呼叫網管	c=1 d=1 t=10383
hu li 	狐狸	c=0 d=0.1 t=1428
hu li hao hao kan 	狐狸好好看	c=1 d=1 t=1429
hu lve 	忽略	c=1 d=1 t=3919
hu shi 	忽視	c=1 d=1 t=11410
hu you 	忽悠	c=1 d=1 t=11012
hua 	化	c=3 d=1.55994 t=5957
hua 	畫	c=4 d=1.00106 t=15540
hua 	話	c=20 d=1.10918 t=17983
hua bei 	花唄	c=1 d=1 t=9559
hua bu 	畫布	c=1 d=1 t=3990
hua bu hao 	畫不好	c=1 d=1 t=14559
hua chu 	畫出	c=2 d=1 t=15580
hua chu lai 	畫出來	c=1 d=1 t=16461
hua ci 	畫詞	c=1 d=1 t=4634
hua de 	畫得	c=0 d=0.1 t=14396
hua di ma 	花地嗎	c=1 d=1 t=9656
hua fei 	話費	c=2 d=1.98511 t=9587
hua hai 	花海	c=1 d=1 t=6899
hua hua 	畫畫	c=2 d=1.36788 t=14585
hua jia 	花甲	c=0 d=0.1 t=9481
hua jia fen 	花甲粉	c=1 d=1 t=9482
hua jian 	化簡	c=1 d=1 t=14771
hua lai shi 	華萊士	c=1 d=1 t=9488
hua le 	劃了	c=1 d=1 t=11335
hua li hu shao 	花裏胡哨	c=1 d=1 t=687
hua mian 	畫面	c=2 d=1.00015 t=3568
hua qian 	花錢	c=3 d=1.98511 t=17154
hua qian jiu bu qu le 	花錢就不去了	c=1 d=1 t=1523
hua san 	華三	c=1 d=1 t=10369
hua sha yang 	畫啥樣	c=1 d=1 t=10554
hua shen me 	畫什麼	c=1 d=1 t=14393
hua shi 	畫師	c=11 d=1 t=15567
hua shu 	花束	c=1 d=1 t=9441
hua shui 	划水	c=2 d=1.00002 t=11334
hua sui ran 	話雖然	c=1 d=1 t=11865
hua ti 	話題	c=1 d=1 t=9753
hua tu 	畫圖	c=2 d=1.95123 t=17727
hua yu 	話語	c=1 d=1 t=8300
hua zhuang pin 	化妝品	c=2 d=1.00034 t=14835
huai 	壞	c=2 d=1 t=14799
huai le 	壞了	c=1 d=0.382239 t=8065
huan 	換	c=2 d=1 t=12937
huan cheng 	換乘	c=1 d=1 t=1175
huan cun 	緩存	c=1 d=1 t=8841
huan ge 	換個	c=5 d=1 t=17375
huan hang 	換行	c=5 d=1 t=8837
huan hang fu 	換行符	c=1 d=1 t=1342
huan huan 	緩緩	c=0 d=0.1 t=2752
huan jing 	環境	c=11 d=0.1 t=16178
huan jing bian liang 	環境變量	c=1 d=1 t=8181
huan jing hai bu cuo 	環境還不錯	c=1 d=1 t=16179
huan le 	換了	c=1 d=1.09005 t=15883
huan le lia 	換了倆	c=1 d=1 t=15884
huan le shu 	欢乐树	c=1 d=1 t=15921
huan man 	緩慢	c=1 d=1 t=293
huan ting 	幻聽	c=0 d=0.1 t=5838
huan zhe 	換着	c=1 d=1 t=13139
huang bao 	黃暴	c=1 d=1 t=2384
huang se 	黃色	c=1 d=1 t=13165
huang shu lang 	黃鼠狼	c=1 d=1 t=10378
hui 	回	c=1 d=1 t=16787
hui 	會	c=11 d=1.69809 t=17515
hui bei 	會被	c=3 d=1 t=16645
hui bei jie shou duan 	會被接收端	c=1 d=1 t=10659
hui bi jiao ma fan 	會比較麻煩	c=1 d=1 t=1202
hui bian 	彙編	c=1 d=1 t=14784
hui bu hui 	會不會	c=1 d=1 t=844
hui che 	回車	c=2 d=1.99005 t=1320
hui da 	回答	c=1 d=1 t=16216
hui da kai 	會打開	c=1 d=1 t=11086
hui dao 	回到	c=1 d=1 t=9922
hui de 	會的	c=1 d=1 t=10011
hui er 	會兒	c=0 d=0.1 t=2688
hui fa sheng 	会发生	c=1 d=1 t=2397
hui fu 	恢復	c=3 d=1 t=9635
hui he 	回合	c=1 d=1 t=3764
hui hua 	會話	c=1 d=1 t=382
hui hua hua 	會畫畫	c=1 d=1 t=10544
hui huan 	迴環	c=1 d=0.117522 t=17266
hui huan ce shi 	迴環測試	c=1 d=1 t=16395
hui huan di zhi 	迴環地址	c=1 d=1 t=17267
hui jia 	回家	c=4 d=1.00247 t=18145
hui ku 	會哭	c=1 d=1 t=12470
hui lai 	回來	c=3 d=1 t=15342
hui lv 	匯率	c=1 d=1 t=4140
hui ni 	會膩	c=1 d=1 t=10324
hui qin shi 	回寢室	c=4 d=0.108354 t=17904
hui qu 	回去	c=3 d=1.1298 t=13061
hui qu shi shi 	回去試試	c=1 d=1 t=13048
hui sheng cheng 	會生成	c=1 d=1 t=6842
hui shi de 	會使得	c=1 d=1 t=5930
hui shuo 	會說	c=0 d=0.1 t=983
hui xing zhen 	回形針	c=1 d=1 t=10938
hui yi 	回憶	c=1 d=1.09753 t=13961
hui yi 	會議	c=1 d=1 t=15835
hui yi me 	回憶麼	c=1 d=1 t=13957
hui ying xiang 	會影響	c=1 d=1 t=917
hui you 	惠友	c=2 d=1 t=12445
hui you 	會有	c=1 d=1 t=16100
hui yuan 	會員	c=3 d=1 t=16055
hui zhan 	回戰	c=1 d=1 t=3268
hui zhi chi 	回支持	c=1 d=1 t=2782
hun hun 	混混	c=1 d=1 t=6418
hun li 	婚禮	c=2 d=1.81873 t=15958
hun sha 	婚紗	c=1 d=1 t=13977
hun shu 	混輸	c=1 d=1 t=6
hun yuan 	混元	c=1 d=1 t=15517
huo 	或	c=8 d=1.00332 t=16355
huo 	貨	c=1 d=1 t=13169
huo bao 	活寶	c=1 d=1 t=1488
huo bi 	貨幣	c=1 d=1 t=5074
huo chai ren 	火柴人	c=1 d=1 t=14718
huo che 	火車	c=6 d=2.31219 t=15263
huo che zhan 	火車站	c=3 d=1.00041 t=16823
huo de 	獲得	c=2 d=1.03422 t=16399
huo duo 	或多	c=1 d=1 t=5640
huo hu 	火狐	c=3 d=1.68091 t=2787
huo jian 	火箭	c=2 d=1.86502 t=7277
huo jie shou 	或接受	c=1 d=1 t=5298
huo le 	活了	c=0 d=0.1 t=2938
huo qu 	獲取	c=45 d=1.70101 t=17827
huo qu cuo wu 	獲取錯誤	c=1 d=1 t=937
huo qu dao 	獲取到	c=2 d=1 t=14987
huo xian 	火線	c=1 d=1 t=9376
huo zhe 	或者	c=24 d=1.7502 t=17992
huo zhe mai yi ge 	或者買一個	c=1 d=1 t=13128
ip 	iPhone	c=0 d=0.100001 t=5781
ip ni de xin 	iPhone你的心	c=1 d=1 t=3414
ip shi 	iPhone是	c=3 d=1.00028 t=16412
ji 	即	c=1 d=1.00378 t=4863
ji 	及	c=8 d=1.00001 t=17772
ji 	幾	c=1 d=1 t=15437
ji 	急	c=0 d=0.1 t=14645
ji 	機	c=3 d=1.00074 t=16496
ji 	積	c=0 d=0.1 t=14866
ji 	級	c=1 d=0.1 t=15701
ji 	集	c=1 d=1 t=13737
ji 	雞	c=1 d=1 t=9325
ji ben 	基本	c=6 d=1 t=13312
ji ben cao zuo 	基本操作	c=4 d=3.4417 t=4958
ji ben de 	基本的	c=1 d=1 t=13367
ji ben gai nian 	基本概念	c=1 d=1 t=13325
ji ben jie gou 	基本結構	c=1 d=1 t=5971
ji bu qing 	記不清	c=0 d=0.1 t=15384
ji bu zhu 	記不住	c=0 d=0.197531 t=1399
ji chang 	機場	c=1 d=1 t=902
ji cheng 	繼承	c=2 d=1.00018 t=7849
ji chu 	基礎	c=2 d=1 t=7690
ji chu shang 	基礎上	c=1 d=1 t=4923
ji chu she shi 	基礎設施	c=1 d=1 t=1539
ji cuo le 	記錯了	c=0 d=0.1 t=1768
ji da 	極大	c=2 d=1.90484 t=5368
ji da ji xiao 	极大极小	c=1 d=1 t=3417
ji da zhi 	極大值	c=1 d=1 t=3428
ji de 	記得	c=5 d=1.00552 t=16745
ji dian 	幾點	c=0 d=0.1 t=12082
ji dong 	激動	c=1 d=1 t=2218
ji ge 	及格	c=1 d=1 t=10067
ji ge 	幾個	c=0 d=0.1 t=15243
ji hao 	記號	c=0 d=0.1 t=950
ji hao kai xue 	記號開學	c=1 d=1 t=951
ji he 	幾何	c=4 d=3.18008 t=14737
ji he 	集合	c=15 d=1 t=13508
ji hu 	幾乎	c=1 d=1 t=10860
ji hu suo you 	幾乎所有	c=0 d=0.1 t=8051
ji hu suo you de 	幾乎所有的	c=1 d=1 t=8052
ji hua 	計劃	c=1 d=1 t=397
ji hui 	機會	c=1 d=0.100954 t=6535
ji hui le 	機會了	c=2 d=1 t=11747
ji huo 	激活	c=3 d=1 t=11108
ji ji 	唧唧	c=1 d=0.1 t=12818
ji ke 	即可	c=1 d=1 t=7871
ji ke 	極客	c=0 d=0.1 t=719
ji ke 	計科	c=3 d=2.24161 t=14930
ji ke shi jian 	極客時間	c=1 d=1 t=720
ji ke yi 	既可以	c=1 d=1 t=548
ji lei 	積累	c=0 d=0.1 t=13959
ji lin sheng 	吉林省	c=1 d=1 t=2989
ji lu 	記錄	c=7 d=1.59984 t=14994
ji lu dao 	記錄到	c=1 d=1 t=6808
ji lu mi ma 	記錄密碼	c=1 d=1 t=1533
ji lu ruan jian 	記錄軟件	c=1 d=1 t=11908
ji lu zi ji 	記錄自己	c=1 d=1 t=14244
ji lv 	機率	c=0 d=0.1 t=5248
ji lv jiao xiao 	機率較小	c=1 d=1 t=5249
ji nian 	紀念	c=2 d=1 t=15554
ji ou 	奇偶	c=1 d=1 t=1310
ji piao 	機票	c=1 d=1 t=9318
ji qi 	機器	c=2 d=1.72979 t=4760
ji qiao 	技巧	c=3 d=1.09185 t=15422
ji ran shi 	既然是	c=1 d=1 t=17455
ji ren gou 	級認購	c=1 d=1 t=5847
ji shi 	即使	c=1 d=1 t=2643
ji shi 	及時	c=1 d=1 t=11933
ji shi 	計時	c=2 d=1 t=11016
ji shi ben 	記事本	c=1 d=1 t=1713
ji shi qi 	計時器	c=2 d=1.99501 t=2427
ji shi zuo tian 	計時昨天	c=1 d=1 t=2638
ji shu 	技術	c=8 d=1.00016 t=15281
ji shu ju de 	即數據的	c=1 d=1 t=4209
ji suan 	計算	c=9 d=1.00013 t=16495
ji suan chu 	計算出	c=1 d=1 t=3666
ji suan hou 	計算後	c=2 d=1.97045 t=10662
ji suan ji 	計算機	c=37 d=1.98516 t=14192
ji suan ji zhong 	計算機中	c=2 d=1.00027 t=6090
ji suan qi 	計算器	c=1 d=1 t=6916
ji tian 	幾天	c=1 d=1 t=810
ji xia 	記下	c=1 d=1 t=7580
ji xiao zhi 	極小值	c=1 d=1 t=3430
ji xie 	機械	c=1 d=1 t=14797
ji xu 	繼續	c=4 d=1.01297 t=16592
ji yi shang 	級以上	c=1 d=1 t=8575
ji yi ti 	記憶體	c=1 d=1 t=14243
ji yin 	基因	c=1 d=1 t=13744
ji you 	既有	c=1 d=1 t=5807
ji yu 	基於	c=1 d=1 t=5671
ji zai 	記在	c=1 d=1 t=2230
ji zhi 	機智	c=1 d=1 t=7235
ji zhu 	記住	c=0 d=0.1 t=5470
ji zhu jiu xing le 	記住就行了	c=1 d=1 t=5471
ji zuo 	記作	c=1 d=1 t=4806
jia 	假	c=2 d=1.91851 t=13207
jia 	加	c=3 d=0.100029 t=14933
jia 	家	c=0 d=0.116696 t=1851
jia bao 	家暴	c=0 d=0.1 t=9893
jia fen 	加分	c=1 d=1 t=6952
jia ge 	價格	c=0 d=0.1 t=17972
jia ge 	加個	c=0 d=0.1 t=10017
jia ge pi 	加個屁	c=1 d=1 t=10018
jia guo 	加過	c=1 d=1 t=10020
jia hao you 	加好友	c=1 d=1 t=14934
jia le 	加了	c=2 d=1.12157 t=13116
jia le 	嫁了	c=0 d=0.1 t=9643
jia qi 	假期	c=3 d=1.96079 t=16073
jia qiang 	加強	c=1 d=1 t=17658
jia shang 	加上	c=2 d=1.00248 t=6231
jia shen 	加深	c=1 d=1 t=11507
jia su 	加速	c=4 d=1.00008 t=9612
jia su qi 	加速器	c=1 d=1 t=6658
jia wo 	加我	c=0 d=0.1 t=3337
jia wo yi ge 	加我一個	c=1 d=1 t=3338
jia xing yi gou 	家興易購	c=1 d=1 t=9481
jia yi 	加一	c=0 d=0.1 t=13122
jia yi 	嫁衣	c=3 d=2.98506 t=9343
jia yi ge 	加一個	c=1 d=1 t=2404
jia you 	加油	c=27 d=1.0011 t=18155
jia you a 	加油啊	c=1 d=1 t=13820
jia zai 	加載	c=3 d=1.11345 t=4049
jia zai wan bi hou 	加載完畢後	c=1 d=1 t=4050
jian 	建	c=1 d=1 t=3987
jian 	減	c=1 d=1 t=14163
jian 	鍵	c=2 d=1.97531 t=10792
jian 	間	c=4 d=1 t=15083
jian bing 	煎餅	c=1 d=1 t=9572
jian bing guo zi 	煎饼果子	c=2 d=1.94649 t=14988
jian bu 	肩部	c=0 d=0.1 t=14161
jian ce 	檢測	c=9 d=1 t=17771
jian cha 	檢查	c=1 d=1 t=2896
jian dan 	簡單	c=3 d=1 t=17453
jian dao 	見到	c=1 d=1 t=10879
jian ding 	堅定	c=1 d=1 t=11214
jian ding le 	堅定了	c=1 d=1 t=11225
jian er yan zhi 	簡而言之	c=1 d=1 t=14103
jian fei 	減肥	c=1 d=0.1 t=14161
jian fei de 	減肥的	c=1 d=1 t=3346
jian fu 	肩負	c=1 d=1 t=16031
jian ge 	間隔	c=3 d=1.49886 t=8217
jian guo 	堅果	c=1 d=1 t=3075
jian guo lai 	撿過來	c=0 d=0.1 t=10675
jian hua 	簡化	c=1 d=1 t=5059
jian jin 	漸進	c=0 d=0.1 t=6178
jian jin shi jian 	漸進時間	c=1 d=1 t=6179
jian li 	建立	c=5 d=2.82206 t=16439
jian li 	簡歷	c=2 d=1 t=17080
jian li le 	建立了	c=1 d=1 t=15368
